time,open,high,low,close,Volume
2018-02-16,240.34032193,242.98801937,240.29619364,241.03754892,160420135
2018-02-20,240.08437784,241.53178578,238.73405215,239.52836138,86369662
2018-02-21,239.96964429,242.45847988,238.2398153,238.33689754,98883740
2018-02-22,239.26359164,240.98459497,237.97504555,238.64579557,110511290
2018-02-23,239.87256205,242.44965422,239.39597651,242.44965422,92766428
2018-02-26,243.52638451,245.3621214,242.93506542,245.26503916,86491406
2018-02-27,245.45037798,246.16525629,242.14075619,242.20253579,99099165
2018-02-28,243.30574306,243.75585162,239.43127914,239.74900284,121907767
2018-03-01,239.53718704,241.09050287,234.762506,236.26286788,176855077
2018-03-02,234.58599284,238.04565082,233.72107834,237.4808087,139083217
2018-03-05,236.28934485,240.84338444,236.18343696,240.22558837,97307387
2018-03-06,241.20523643,241.28466735,239.3341969,240.83455878,79213163
2018-03-07,238.66344689,241.09932853,238.46928241,240.7463022,87063502
2018-03-08,241.42587788,242.03484829,240.42857851,241.91128908,66901150
2018-03-09,243.32339437,246.121128,243.00567068,246.121128,113625335
2018-03-12,246.41237472,247.03899644,245.42398926,245.81222996,71924793
2018-03-13,246.97721684,247.48027935,243.61464109,244.2236115,91968937
2018-03-14,245.18560824,245.37094706,242.41435159,242.97036805,105895079
2018-03-15,243.48225622,244.12652926,242.20253579,242.70559831,83433038
2018-03-16,243.23439986,244.0230287,242.91540393,242.96856992,100343673
2018-03-19,242.21538507,242.24196806,238.02413293,239.68113959,109208442
2018-03-20,240.07988451,240.72673738,239.40644865,240.08874551,59757271
2018-03-21,240.04444052,242.14449708,239.41530965,239.6279736,78709578
2018-03-22,237.39500206,238.24565789,233.3632479,233.63793884,148785916
2018-03-23,234.08098875,234.83417359,228.46311591,228.65805786,183534751
2018-03-26,232.27334512,235.19747452,229.86315362,234.91392258,141956102
2018-03-27,235.85318838,236.38484827,229.35807672,230.9176124,129941445
2018-03-28,231.05052737,232.72525603,229.12769077,230.23531554,146452306
2018-03-29,231.3783843,235.04683755,230.24320183,233.17716693,124244790
2018-04-02,232.64550704,233.15944494,225.66304048,228.14411997,186286343
2018-04-03,229.38465972,231.54674327,227.58587709,231.06824937,119956861
2018-04-04,227.5061281,234.24491721,227.37321313,233.54046786,123715339
2018-04-05,235.3038065,236.2696553,234.21390372,235.38355548,82652618
2018-04-06,233.41641388,234.91392258,228.61375287,230.13784456,179521209
2018-04-09,231.59990926,234.67467562,230.32888768,231.27205233,105442932
2018-04-10,234.16959873,235.73799541,233.02652996,234.94936657,105573736
2018-04-11,233.46071887,235.38355548,233.38983089,233.71768782,91140243
2018-04-12,235.04683755,236.58865123,234.86961758,235.64052443,68890480
2018-04-13,236.95195216,237.06714513,233.93921278,234.94936657,85079176
2018-04-16,236.58865123,237.65197101,235.7645784,236.88106417,63405287
2018-04-17,238.6532638,240.01785752,238.13932591,239.41530965,64682036
2018-04-18,239.85835956,240.39888044,239.13175771,239.59252961,57303857
2018-04-19,238.93681575,239.1406187,237.2266431,238.26337988,77655909
2018-04-20,238.1924919,238.41401685,235.35697248,236.2430723,99953133
2018-04-23,236.81903718,237.37728007,235.12658653,236.20762831,65557954
2018-04-24,237.2355041,237.45366187,231.52016028,233.02652996,112885452
